Interaction,Muons,Protons,Pions,Kaons
1096,2,0,0,0
1097,0,1,0,0
1098,2,0,0,0
1099,1,0,0,0
1100,2,1,0,0
1101,0,0,2,0
1102,0,1,0,0
1103,1,0,0,0
1104,1,3,1,0
1105,1,0,1,0
1106,1,0,0,0
1107,1,0,1,0
1108,1,0,0,0
1109,3,0,0,0
1110,0,0,3,0
1111,1,0,0,0
1112,0,0,1,0
1113,0,0,1,0
1114,1,0,0,0
1115,1,0,0,1
1116,0,1,0,0
1117,1,0,0,0
1118,1,0,0,0
1119,1,1,0,0
1120,1,0,0,0
1121,1,0,0,0
1122,1,0,0,0
1123,1,0,0,0
1124,1,0,0,0
1125,0,0,2,0
1126,2,0,0,0
1127,1,0,0,0
1128,1,0,0,1
1129,3,0,0,0
1130,1,0,0,0
1131,1,1,0,1
1132,1,0,0,0
1133,1,0,2,0
1134,0,1,0,0
1135,1,0,0,0
1136,1,0,0,0
1137,1,0,1,0
1138,1,0,0,0
1139,0,0,1,0
1140,1,1,2,1
1141,0,0,1,1
1142,1,0,0,0
1143,0,2,0,0
1144,0,0,1,0
1145,0,1,0,0
1146,1,0,0,0
1147,2,0,0,0
1148,2,0,0,0
1149,0,1,1,0
1150,1,0,1,0
1151,0,1,0,0
1152,0,2,0,0
1153,1,0,0,0
1154,1,0,0,0
1155,0,0,1,0
1156,1,0,2,0
1157,1,0,0,0
1158,1,0,0,0
1159,1,0,1,0
1160,2,0,0,0
1161,1,0,0,0
1162,1,0,0,0
1163,1,0,0,0
1164,1,1,0,0
1165,1,0,0,0
1166,1,0,0,0
1167,0,1,2,0
1168,0,1,0,0
1169,1,0,0,0
1170,2,0,0,0
1171,1,1,0,0
1172,1,0,0,0
1173,0,0,0,1
1174,2,0,0,0
1175,1,0,0,0
1176,1,0,0,0
1177,1,0,0,0
1178,1,0,0,0
1179,0,0,1,0
1180,0,0,1,0
1181,1,0,0,0
1182,1,0,0,0
1183,0,0,0,1
1184,0,0,0,1
1185,1,0,1,1
1186,1,0,1,0
1187,1,0,0,0
1188,0,1,0,0
1189,1,0,0,0
1190,0,0,0,1
1191,0,1,0,1
1192,1,0,0,1
1193,1,0,0,0
1194,1,0,0,0
1195,1,1,0,0
1196,0,1,0,1
1197,0,0,0,1
1198,2,0,0,0
1199,1,3,0,0
1200,1,1,0,0
1201,0,1,0,0
1202,0,0,2,0
1203,0,0,2,0
1204,1,0,0,0
1205,0,1,0,0
1206,1,0,0,0
1207,0,0,1,0
1208,1,0,0,0
1209,1,0,0,0
1210,1,1,0,0
1211,1,0,0,0
1212,0,2,1,0
1213,1,3,3,0
1214,0,0,1,0
1215,1,0,2,0
1216,0,0,0,1
1217,1,1,0,0
1218,1,0,0,0
1219,1,1,0,0
1220,0,2,2,0
1221,1,0,0,0
1222,0,1,1,0
1223,1,0,1,0
1224,1,1,0,0
1225,1,1,0,0
1226,1,0,0,0
1227,1,0,1,1
1228,1,0,0,0
1229,1,2,0,2
1230,1,0,0,0
1231,2,0,0,0
1232,1,0,0,0
1233,1,0,1,0
1234,1,0,0,0
1235,2,0,1,0
1236,1,0,0,0
1237,0,0,1,0
1238,1,2,2,0
1239,1,0,0,0
